method	true_pairs	retrieved_true_pairs	missed_true_pairs	blocking_recall	candidate_pairs	average_candidates_per_s1	median_candidates_per_s1	p95_candidates_per_s1	p99_candidates_per_s1	max_candidates_per_s1	recall_percent	candidate_reduction_percent
all_name + address	3451	3438	13	0.9962329759490003	87933	87.933	90.0	128.0	137.0	147	99.623	99.57532599246596
name_char + address	3451	3413	38	0.988988698927847	30421	30.421	26.0	78.0	80.0	80	98.899	99.853081232493
name_fuzzy + address	3451	3405	46	0.986670530281078	51135	51.135	50.0	79.0	80.0	80	98.667	99.75304259634889
all_name	3451	3291	160	0.9536366270646189	76944	76.944	84.0	102.0	114.0	130	95.364	99.62839756592292
name_fuzzy	3451	3097	354	0.8974210373804694	39899	39.899	50.0	50.0	50.0	50	89.742	99.80730706075533
address	3451	3060	391	0.8866995073891626	14045	14.045	6.0	30.0	30.0	30	88.67	99.93216941949193
name_char_tfidf	3451	3060	391	0.8866995073891626	19128	19.128	11.0	50.0	50.0	50	88.67	99.90762097942624
name_token	3451	2834	617	0.8212112431179368	46730	46.73	50.0	50.0	50.0	50	82.121	99.774316623201
